name_en,unique_ja_count,name_ja,occurrence_count,source_architect_id,source_line
"JV",40,"設計共同企業体",36,2728,1204
"JV",40,"設計共同企業体",36,3143,1360
"JV",40,"設計共同企業体",36,3172,1372
"JV",40,"設計共同企業体",36,3982,1726
"JV",40,"設計共同企業体",36,4313,1863
"JV",40,"設計共同企業体",36,4344,1876
"JV",40,"設計共同企業体",36,4394,1891
"JV",40,"設計共同企業体",36,4940,2122
"JV",40,"設計共同企業体",36,5088,2196
"JV",40,"設計共同企業体",36,5195,2249
"JV",40,"設計共同企業体",36,5216,2259
"JV",40,"設計共同企業体",36,5244,2276
"JV",40,"設計共同企業体",36,5264,2287
"JV",40,"設計共同企業体",36,5758,2536
"JV",40,"設計共同企業体",36,5760,2538
"JV",40,"設計共同企業体",36,6118,2727
"JV",40,"設計共同企業体",36,6379,2836
"JV",40,"設計共同企業体",36,6393,2845
"JV",40,"設計共同企業体",36,6402,2852
"JV",40,"設計共同企業体",36,6711,3015
"JV",40,"設計共同企業体",36,6850,3073
"JV",40,"設計共同企業体",36,7009,3156
"JV",40,"設計共同企業体",36,8084,3706
"JV",40,"設計共同企業体",36,8164,3756
"JV",40,"設計共同企業体",36,8172,3758
"JV",40,"設計共同企業体",36,8351,3858
"JV",40,"設計共同企業体",36,8595,3992
"JV",40,"設計共同企業体",36,8777,4090
"JV",40,"設計共同企業体",36,8971,4200
"JV",40,"設計共同企業体",36,9053,4247
"JV",40,"設計共同企業体",36,9258,4374
"JV",40,"設計共同企業体",36,9405,4467
"JV",40,"設計共同企業体",36,9450,4498
"JV",40,"設計共同企業体",36,9657,4615
"JV",40,"設計共同企業体",36,9753,4667
"JV",40,"設計共同企業体",36,9768,4674
"JV",40,"共同体",6,3162,1367
"JV",40,"共同体",6,6357,2826
"JV",40,"共同体",6,7261,3283
"JV",40,"共同体",6,7495,3395
"JV",40,"共同体",6,9392,4456
"JV",40,"共同体",6,9511,4534
"JV",40,"設計共同体",43,3540,1521
"JV",40,"設計共同体",43,4020,1749
"JV",40,"設計共同体",43,4354,1880
"JV",40,"設計共同体",43,5369,2338
"JV",40,"設計共同体",43,5388,2348
"JV",40,"設計共同体",43,5743,2529
"JV",40,"設計共同体",43,5897,2606
"JV",40,"設計共同体",43,6021,2672
"JV",40,"設計共同体",43,6022,2673
"JV",40,"設計共同体",43,6046,2689
"JV",40,"設計共同体",43,6190,2761
"JV",40,"設計共同体",43,6492,2900
"JV",40,"設計共同体",43,6680,3001
"JV",40,"設計共同体",43,6845,3070
"JV",40,"設計共同体",43,7118,3213
"JV",40,"設計共同体",43,7182,3233
"JV",40,"設計共同体",43,7242,3272
"JV",40,"設計共同体",43,7758,3543
"JV",40,"設計共同体",43,7915,3615
"JV",40,"設計共同体",43,7929,3627
"JV",40,"設計共同体",43,8066,3697
"JV",40,"設計共同体",43,8099,3717
"JV",40,"設計共同体",43,8293,3823
"JV",40,"設計共同体",43,8358,3862
"JV",40,"設計共同体",43,8363,3863
"JV",40,"設計共同体",43,8396,3880
"JV",40,"設計共同体",43,8399,3882
"JV",40,"設計共同体",43,8596,3993
"JV",40,"設計共同体",43,8765,4083
"JV",40,"設計共同体",43,9071,4258
"JV",40,"設計共同体",43,9143,4300
"JV",40,"設計共同体",43,9144,4301
"JV",40,"設計共同体",43,9154,4306
"JV",40,"設計共同体",43,9166,4314
"JV",40,"設計共同体",43,9384,4451
"JV",40,"設計共同体",43,9403,4465
"JV",40,"設計共同体",43,9439,4490
"JV",40,"設計共同体",43,9600,4579
"JV",40,"設計共同体",43,9611,4588
"JV",40,"設計共同体",43,9808,4695
"JV",40,"設計共同体",43,9956,4780
"JV",40,"設計共同体",43,10073,4844
"JV",40,"設計共同体",43,10127,4865
"JV",40,"共同設計室",1,3825,1649
"JV",40,"共同企業体",29,3894,1683
"JV",40,"共同企業体",29,4635,1993
"JV",40,"共同企業体",29,4974,2149
"JV",40,"共同企業体",29,5164,2237
"JV",40,"共同企業体",29,5693,2498
"JV",40,"共同企業体",29,6286,2801
"JV",40,"共同企業体",29,6869,3085
"JV",40,"共同企業体",29,6897,3100
"JV",40,"共同企業体",29,7016,3161
"JV",40,"共同企業体",29,7202,3244
"JV",40,"共同企業体",29,7402,3348
"JV",40,"共同企業体",29,7605,3456
"JV",40,"共同企業体",29,7825,3573
"JV",40,"共同企業体",29,7839,3577
"JV",40,"共同企業体",29,7901,3607
"JV",40,"共同企業体",29,8169,3757
"JV",40,"共同企業体",29,8366,3864
"JV",40,"共同企業体",29,8529,3956
