duplicate_name_en,occurrence_count,name_ja,source_architect_id,source_line
"JV",155,"設計共同企業体",2728,1203
"JV",155,"設計共同企業体",3143,1359
"JV",155,"共同体",3162,1366
"JV",155,"設計共同企業体",3172,1371
"JV",155,"設計共同体",3540,1520
"JV",155,"共同設計室",3825,1648
"JV",155,"共同企業体",3894,1682
"JV",155,"業務特別共同企業体",3914,1696
"JV",155,"設計共同企業体",3982,1725
"JV",155,"設計共同体",4020,1748
"JV",155,"設計監理共同企業体",4156,1803
"JV",155,"設計共同企業体",4313,1862
"JV",155,"設計共同企業体",4344,1875
"JV",155,"設計共同体",4354,1879
"JV",155,"特定共同企業体",4355,1880
"JV",155,"設計監理共同体",4361,1882
"JV",155,"設計共同企業体",4394,1890
"JV",155,"沖縄県立武道館設計共同企業体",4493,1927
"JV",155,"新本社ビル設計共同企業体",4542,1946
"JV",155,"共同企業体",4635,1992
"JV",155,"山梨ITセンター設計共同企業体",4733,2021
"JV",155,"設計共同企業体",4940,2121
"JV",155,"黒川・イプスタイン・アラップ共同企業体",4953,2133
"JV",155,"共同企業体",4974,2148
"JV",155,"設計共同企業体",5088,2195
"JV",155,"設計監理共同企業体",5163,2235
"JV",155,"共同企業体",5164,2236
"JV",155,"森林文化アカデミー（仮称）建築設計業務特別共同企業体",5190,2245
"JV",155,"設計共同企業体",5195,2248
"JV",155,"特定設計業務共同企業体",5203,2254
"JV",155,"設計共同企業体",5216,2258
"JV",155,"設計共同企業体",5244,2275
"JV",155,"設計共同企業体",5264,2286
"JV",155,"設計共同体",5369,2337
"JV",155,"設計共同体",5388,2347
"JV",155,"大成・五洋・古久根建設工事共同企業体",5526,2413
"JV",155,"安井・雅禧・西島・熊平設計共同体",5563,2434
"JV",155,"共同企業体",5693,2497
"JV",155,"設計共同体",5743,2528
"JV",155,"設計共同企業体",5758,2535
"JV",155,"企業体",5815,2564
"JV",155,"企業体",5816,2565
"JV",155,"特定建設工事設計・施工連合体",5862,2588
"JV",155,"設計共同体",5897,2605
"JV",155,"大崎・総合設備・トーホー設備・森川設計業務共同企業体",5979,2645
"JV",155,"設計共同体",6021,2671
"JV",155,"設計共同体",6022,2672
"JV",155,"設計監理共同体",6037,2681
"JV",155,"設計共同体",6046,2688
"JV",155,"設計共同企業体",6118,2726
"JV",155,"設計共同体",6190,2760
"JV",155,"設計業務特別共同企業体",6254,2786
"JV",155,"共同企業体",6286,2800
"JV",155,"共同体",6357,2825
"JV",155,"設計共同企業体",6379,2835
"JV",155,"設計共同企業体",6393,2844
"JV",155,"設計共同企業体",6402,2851
"JV",155,"設計共同体",6492,2899
"JV",155,"設計共同体",6680,3000
"JV",155,"設計共同企業体",6711,3014
"JV",155,"設計監理共同企業体",6728,3020
"JV",155,"設計共同体",6845,3069
"JV",155,"設計共同企業体",6850,3072
"JV",155,"共同企業体",6869,3084
"JV",155,"共同企業体",6897,3099
"JV",155,"A・W・A設計共同体",6955,3129
"JV",155,"設計共同企業体",7009,3155
"JV",155,"共同企業体",7016,3160
"JV",155,"設計共同体",7118,3212
"JV",155,"設計共同体",7182,3232
"JV",155,"共同企業体",7202,3243
"JV",155,"共同体",7261,3282
"JV",155,"出雲市新庁舎設計共同体",7291,3297
"JV",155,"共同企業体",7402,3347
"JV",155,"共同体",7495,3394
"JV",155,"共同企業体",7605,3455
"JV",155,"設計・工事監理共同企業体",7696,3509
"JV",155,"設計共同体",7758,3542
"JV",155,"同志社大学今出川キャンパス整備設計共同企業体",7814,3567
"JV",155,"共同企業体",7825,3572
"JV",155,"共同企業体",7839,3576
"JV",155,"異業種特定建設共同企業体",7852,3586
"JV",155,"東京駅八重洲開発設計共同企業体",7879,3596
"JV",155,"共同企業体",7901,3606
"JV",155,"設計共同体",7915,3614
"JV",155,"設計共同体",7929,3626
"JV",155,"設計監理共同事業体",7930,3627
"JV",155,"設計共同体",8066,3696
"JV",155,"設計共同企業体",8084,3705
"JV",155,"設計共同体",8099,3716
"JV",155,"飯田橋駅西口地区市街地再開発事業施設建築物実施設計共同企業体",8116,3727
"JV",155,"設計共同企業体",8164,3755
"JV",155,"共同企業体",8169,3756
"JV",155,"設計共同企業体",8172,3757
"JV",155,"設計共同体",8293,3822
"JV",155,"大林・藤井・岡野・きんでん・東洋熱工業特定建設工事共同企業体",8349,3855
"JV",155,"設計共同企業体",8351,3857
"JV",155,"設計共同体",8358,3861
"JV",155,"設計共同体",8363,3862
"JV",155,"共同企業体",8366,3863
"JV",155,"設計共同体",8396,3879
"JV",155,"設計共同体",8399,3881
"JV",155,"竹中・長建・ワシヅ設計共同企業体",8527,3954
"JV",155,"共同企業体",8529,3955
"JV",155,"共同企業体",8531,3957
"JV",155,"設計監理共同企業体",8585,3984
